   wave          trans
   1.30000E+04   0.00000E+00
   1.31500E+04   0.00000E+00
   1.34100E+04   0.00000E+00
   1.36800E+04   0.00000E+00
   1.39700E+04   0.00000E+00
   1.41800E+04   0.00000E+00
   1.44000E+04   5.00000E-04
   1.46200E+04   2.80000E-03
   1.47800E+04   8.10000E-03
   1.48600E+04   2.87000E-02
   1.49300E+04   8.71000E-02
   1.50400E+04   2.01400E-01
   1.51500E+04   4.38200E-01
   1.52800E+04   6.86400E-01
   1.53900E+04   8.18100E-01
   1.54600E+04   8.82100E-01
   1.55100E+04   9.11800E-01
   1.55600E+04   9.26900E-01
   1.56500E+04   9.29300E-01
   1.57200E+04   8.72700E-01
   1.57700E+04   8.56600E-01
   1.58300E+04   8.82600E-01
   1.59200E+04   9.18100E-01
   1.59700E+04   9.26700E-01
   1.60200E+04   9.07600E-01
   1.61300E+04   9.26000E-01
   1.61900E+04   9.20500E-01
   1.62800E+04   9.24200E-01
   1.63300E+04   9.23500E-01
   1.64200E+04   9.41800E-01
   1.64800E+04   9.49100E-01
   1.65700E+04   9.80700E-01
   1.65900E+04   9.93700E-01
   1.67100E+04   1.00000E+00
   1.68400E+04   9.56100E-01
   1.70100E+04   9.24100E-01
   1.71500E+04   9.82100E-01
   1.72700E+04   9.91600E-01
   1.73900E+04   9.88700E-01
   1.74600E+04   9.79200E-01
   1.75100E+04   9.68200E-01
   1.75300E+04   9.37000E-01
   1.75600E+04   9.19000E-01
   1.76400E+04   8.42300E-01
   1.77500E+04   6.67100E-01
   1.78500E+04   2.69400E-01
   1.79000E+04   4.51600E-01
   1.79600E+04   1.73100E-01
   1.80300E+04   1.07700E-01
   1.81000E+04   7.07000E-02
   1.81300E+04   5.10000E-03
   1.81800E+04   2.00000E-02
   1.82800E+04   4.00000E-04
   1.83500E+04   0.00000E+00
   1.85000E+04   1.00000E-04
   1.87100E+04   0.00000E+00
   1.89300E+04   0.00000E+00
   1.91500E+04   0.00000E+00
