   wave          trans
   1.89700E+04   0.00000E+00
   1.91500E+04   0.00000E+00
   1.92700E+04   0.00000E+00
   1.93400E+04   2.00000E-04
   1.93900E+04   5.00000E-04
   1.94800E+04   5.40000E-03
   1.95700E+04   1.19000E-02
   1.96200E+04   1.97000E-02
   1.96900E+04   4.22000E-02
   1.97600E+04   8.73000E-02
   1.98100E+04   1.52800E-01
   1.98900E+04   2.48200E-01
   1.99000E+04   1.90200E-01
   1.99800E+04   2.33900E-01
   2.00800E+04   2.94600E-01
   2.01400E+04   3.98200E-01
   2.01900E+04   3.36600E-01
   2.02800E+04   6.20700E-01
   2.03700E+04   7.65000E-01
   2.04500E+04   7.46400E-01
   2.06100E+04   6.25100E-01
   2.07200E+04   7.25500E-01
   2.07500E+04   6.89500E-01
   2.08200E+04   7.87900E-01
   2.08900E+04   8.18100E-01
   2.09900E+04   8.22800E-01
   2.10600E+04   8.63300E-01
   2.11300E+04   8.77800E-01
   2.12400E+04   8.98200E-01
   2.13800E+04   9.18900E-01
   2.14500E+04   9.26800E-01
   2.15500E+04   9.26700E-01
   2.16900E+04   9.00900E-01
   2.17600E+04   9.22800E-01
   2.18500E+04   8.42800E-01
   2.19700E+04   9.45900E-01
   2.20800E+04   9.80400E-01
   2.21300E+04   9.87900E-01
   2.21800E+04   9.84800E-01
   2.23200E+04   9.64700E-01
   2.23700E+04   9.81600E-01
   2.24800E+04   9.83400E-01
   2.25600E+04   9.61300E-01
   2.26000E+04   9.79200E-01
   2.26300E+04   1.00000E+00
   2.26500E+04   9.63200E-01
   2.27000E+04   9.81200E-01
   2.27200E+04   9.68100E-01
   2.27600E+04   9.10900E-01
   2.27700E+04   9.82100E-01
   2.28100E+04   8.89600E-01
   2.28400E+04   8.91800E-01
   2.28600E+04   9.42400E-01
   2.29100E+04   8.40400E-01
   2.29300E+04   8.04200E-01
   2.29600E+04   6.60500E-01
   2.29900E+04   5.60700E-01
   2.30600E+04   4.43700E-01
   2.31100E+04   3.48200E-01
   2.31600E+04   2.30200E-01
   2.32000E+04   1.62600E-01
   2.32500E+04   1.36000E-01
   2.32800E+04   9.21000E-02
   2.33500E+04   6.24000E-02
   2.33900E+04   4.31000E-02
   2.34500E+04   2.53000E-02
   2.35200E+04   1.18000E-02
   2.36100E+04   6.80000E-03
   2.36300E+04   7.00000E-04
   2.37000E+04   3.00000E-03
   2.37500E+04   2.10000E-03
   2.38400E+04   4.00000E-04
   2.39900E+04   0.00000E+00
   2.42900E+04   4.00000E-04
   2.47400E+04   0.00000E+00
