 U            B            V            R            I

2750  0.00   3600  0.00   4750  0.00   5350  0.00   6800  0.00     
2800  3.86   3650  0.71   4800  0.43   5400  0.32   6850  0.31     
2850 12.43   3700  2.36   4850  2.60   5450  2.52   6900  0.69     
2900 22.68   3750  4.26   4900  8.57   5500  9.34   6950  1.63     
2950 30.85   3800  6.33   4950 17.07   5550 20.37   7000  3.28     
3000 36.11   3850  8.40   5000 25.18   5600 31.22   7050  5.35     
3050 39.22   3900 10.33   5050 31.22   5650 38.90   7100  7.62     
3100 41.50   3950 12.08   5100 35.20   5700 43.68   7150  9.84     
3150 43.15   4000 13.59   5150 37.67   5750 46.47   7200 12.24     
3200 44.72   4050 14.82   5200 39.06   5800 47.47   7250 15.02     
3250 45.71   4100 15.88   5250 39.70   5850 48.09   7300 18.13     
3300 46.53   4150 16.83   5300 39.70   5900 48.30   7350 21.68     
3350 47.23   4200 17.61   5350 39.33   5950 48.16   7400 25.34     
3400 47.92   4250 18.09   5400 38.51   6000 47.86   7450 29.39     
3450 48.41   4300 18.41   5450 37.46   6050 47.50   7500 33.95     
3500 48.58   4350 18.60   5500 35.96   6100 46.89   7550 38.54     
3550 48.60   4400 18.64   5550 34.20   6150 46.22   7600 43.01     
3600 48.12   4450 18.35   5600 32.15   6200 45.44   7650 47.03     
3650 47.06   4500 17.66   5650 29.84   6250 44.76   7700 50.72     
3700 45.32   4550 16.83   5700 27.39   6300 43.89   7750 53.79     
3750 42.28   4600 15.62   5750 24.61   6350 42.87   7800 56.22     
3800 37.65   4650 13.70   5800 21.76   6400 42.06   7850 58.37     
3850 30.96   4700 11.20   5850 18.90   6450 41.28   7900 59.71     
3900 22.81   4750  8.50   5900 16.17   6500 40.45   7950 60.81     
3950 14.81   4800  6.01   5950 13.55   6550 39.45   8000 61.63     
4000  8.45   4850  3.94   6000 11.10   6600 38.36   8050 61.97     
4050  4.31   4900  2.43   6050  8.93   6650 37.29   8100 62.11     
4100  2.07   4950  1.48   6100  7.06   6700 36.04   8150 62.32     
4150  1.01   5000  0.90   6150  5.45   6750 34.67   8200 62.72     
4200  0.53   5050  0.50   6200  4.15   6800 33.30   8250 63.10     
4250  0.30   5100  0.25   6250  3.04   6850 32.03   8300 63.08     
4300  0.01   5150  0.00   6300  2.16   6900 30.82   8350 62.42     
4350  0.00                6350  1.60   6950 29.44   8400 61.44     
                          6400  1.08   7000 28.04   8450 60.64     
                          6450  0.44   7050 26.80   8500 59.68     
                          6500  0.00   7100 25.51   8550 58.06     
                                       7150 24.09   8600 55.32     
                                       7200 22.61   8650 51.18     
                                       7250 21.32   8700 46.21     
                                       7300 20.13   8750 40.75     
                                       7350 18.99   8800 33.59     
                                       7400 17.98   8850 24.01     
                                       7450 16.94   8900 14.66     
                                       7500 15.86   8950  8.13     
                                       7550 14.80   9000  3.70     
                                       7600 13.77   9050  0.00     
                                       7650 12.78                
                                       7700 11.77                
                                       7750 10.83                
                                       7800  9.95                
                                       7850  9.13                
                                       7900  8.44                
                                       7950  7.77                
                                       8000  7.09                
                                       8050  6.43                
                                       8100  5.84                
                                       8150  5.40                
                                       8200  4.87                
                                       8250  4.42                
                                       8300  3.98                
                                       8350  3.56                
                                       8400  3.20                
                                       8450  2.87                
                                       8500  2.55                
                                       8550  2.35                
                                       8600  1.92                
                                       8650  1.60                
                                       8700  1.30                
                                       8750  1.04                
                                       8800  0.78                
                                       8850  0.50                
                                       8900  0.28                
                                       8950  0.14                
                                       9000  0.06                
                                       9050  0.00                
